id,user,course,difficulty,workload,final_grade,semesters_taken,created_at,updated_at
223,31,114071,9.0,6.5,,,2020-10-24 07:03:55.507144+00:00,2020-10-24 07:03:55.507190+00:00
224,31,94347,4.0,4.0,,,2020-10-24 07:05:13.766986+00:00,2020-10-24 07:05:13.767034+00:00
225,32,104031,8.0,7.0,5.0,,2020-10-24 12:42:32.322495+00:00,2020-10-24 12:42:32.322545+00:00
226,32,104166,8.0,7.0,6.0,,2020-10-24 12:43:20.786666+00:00,2020-10-24 12:43:20.786696+00:00
227,32,234114,6.0,6.0,8.0,,2020-10-24 12:43:53.234450+00:00,2020-10-24 12:43:53.234498+00:00
228,32,234129,5.0,5.0,7.0,,2020-10-24 12:44:34.534430+00:00,2020-10-24 12:44:34.534473+00:00
229,33,44102,1.5,1.0,,,2020-10-24 12:44:54.623549+00:00,2020-10-24 12:44:54.623600+00:00
230,33,45001,2.0,3.0,97.0,,2020-10-24 12:45:19.295223+00:00,2020-10-24 12:45:19.295253+00:00
231,32,394800,2.0,1.0,8.0,,2020-10-24 12:45:19.677346+00:00,2020-10-24 12:45:19.677395+00:00
232,33,104016,5.5,6.0,83.0,,2020-10-24 12:45:43.037459+00:00,2020-10-24 12:45:43.037506+00:00
233,32,104032,8.5,7.0,5.0,,2020-10-24 12:46:01.012076+00:00,2020-10-24 12:46:01.012110+00:00
234,33,104031,8.5,7.0,,,2020-10-24 12:46:08.649112+00:00,2020-10-24 12:46:08.649162+00:00
235,32,114071,7.5,5.0,4.0,,2020-10-24 12:46:30.596861+00:00,2020-10-24 12:46:30.596910+00:00
236,33,114071,5.5,5.0,97.0,,2020-10-24 12:46:31.679416+00:00,2020-10-24 12:46:31.679465+00:00
237,33,234117,6.0,6.0,,,2020-10-24 12:46:56.778686+00:00,2020-10-24 12:46:56.778735+00:00
239,33,44252,6.5,6.5,96.0,,2020-10-24 12:47:23.397665+00:00,2020-10-24 12:47:23.397721+00:00
240,33,104013,9.0,9.0,100.0,,2020-10-24 12:47:49.037038+00:00,2020-10-24 12:47:49.037070+00:00
241,32,234125,6.5,7.0,7.0,,2020-10-24 12:48:02.133043+00:00,2020-10-24 12:48:02.133092+00:00
242,33,104035,7.5,7.0,93.0,,2020-10-24 12:48:10.219795+00:00,2020-10-24 12:48:10.219821+00:00
243,33,114075,9.0,6.0,92.0,,2020-10-24 12:48:32.927563+00:00,2020-10-24 12:48:32.927614+00:00
245,32,44252,7.0,7.0,7.0,,2020-10-24 12:49:39.189011+00:00,2020-10-24 12:49:39.189052+00:00
